Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
3-01-26_11:09:19_t0,32,100000000,1000,0.1,99.99932400188604,61.43846760619609,0.0,1433715.0999999943,85609221.30600071,500.0,47552892.64,0.0,0,1802064.9722387274,5.631453038246023,0.0,0,0,1219173812,0,1966101394,0,15355367,1218530535,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1138238.882351962,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t1,32,100000000,1000,0.2,99.99987100057147,79.39169579596788,0.0,16797212.0,84875522.64000013,500.0,57429610.99999997,0.0,0,2318599.7286032024,7.245624151885006,0.0,0,0,646449608,0,2540651084,0,13250467,646108497,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2158442.6803127737,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t2,32,100000000,1000,0.3,99.99993500029704,87.43377446063282,0.0,17082638.65,86139975.60700001,887.0,55436094.54000001,0.0,0,2540268.3909734534,7.938338721792042,0.0,0,0,392567897,0,2798001242,0,9690955,392320347,0,0,0,0,0.0,0.0,0.0,0,0.0,0,2557568.080731258,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t3,32,100000000,1000,0.4,99.99992700005255,91.92136686210766,0.0,26331908.44999997,87815905.506,3604.5,59644263.68000001,0.0,0,2678438.0715245884,8.370118973514339,0.0,0,0,251802349,0,2941582715,0,6779315,251637938,0,0,0,0,0.0,0.0,0.0,0,0.0,0,3542304.5985797704,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t4,32,100000000,1000,0.5,99.9999150002363,94.47890132120104,0.0,34371136.39999999,87677083.32600452,7250.0,62706508.21999987,0.0,0,2783222.26264211,8.697569570756594,0.0,0,0,171830225,0,3023417305,0,4868012,171720859,0,0,0,0,0.0,0.0,0.0,0,0.0,0,5028831.440218738,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t5,32,100000000,1000,0.6,99.99995400128613,96.3245458462183,0.0,39042093.8,85174551.89200334,13557.0,64333266.92000001,0.0,0,2826050.9836144983,8.831409323795308,0.0,0,0,114288126,0,3082541037,0,3339956,114207007,0,0,0,0,0.0,0.0,0.0,0,0.0,0,5376666.822393167,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t6,32,100000000,1000,0.7,99.99990500004465,97.72874603589831,0.0,41786815.449999996,88314633.98900001,51523.5,69946947.69000001,0.0,0,2847798.6615346293,8.899370817295715,0.0,0,0,70574925,0,3127370309,0,2096272,70531883,0,0,0,0,0.0,0.0,0.0,0,0.0,0,6874770.368154365,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t7,32,100000000,1000,0.8,99.99985700024166,98.39603179440113,0.0,45619538.79999996,90827842.99200001,54098.0,73495109.63999997,0.0,0,2891445.1134577584,9.035765979555494,0.0,0,0,49806028,0,3148715985,0,1523887,49760960,0,0,0,0,0.0,0.0,0.0,0,0.0,0,8013886.585145861,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t8,32,100000000,1000,0.9,99.99994100020001,99.08430089907607,0.0,48537321.599999994,89260120.64100005,136969.5,69749365.74,0.0,0,2899630.170253723,9.061344282042883,0.0,0,0,28423077,0,3170733853,0,876150,28398957,0,0,0,0,0.0,0.0,0.0,0,0.0,0,9161101.32881668,0,0,0,0,0,0,"bimodal_newpolicy_variation"
3-01-26_11:09:19_t9,32,100000000,1000,1.0,99.9999620000912,99.4584791040523,0.0,48090604.25,91511302.685,4267245.5,73125642.05000001,0.0,0,2912353.010352775,9.101103157352423,0.0,0,0,16796890,0,3182696003,0,538764,16771697,0,0,0,0,0.0,0.0,0.0,0,0.0,0,11237229.573758053,0,0,0,0,0,0,"bimodal_newpolicy_variation"
