Run ID,Cores,Sim Duration,Average Task Duration,Load,CPU Load,Task Load,Work Steal Load,95% Tail Latency,99.9% Tail Latency,Median Latency,99% Tail Latency,Tasks Stolen,Average Number of Steals,Throughput,Real Load, Parks Per Second,Successful Work Steal Time,Unsuccessful Work Steal Time,Non Work Conserving Time,Allocation Time,Task Time,Distracted Time,Unpaired Time,Paired Time,Average Requeue Wait Time,Flag Task Time,Avg Time From Alloc to Task,Avg Steals Per Task,Flag Response Rate,Flag Rate,Tasks Flag Stolen,Average Steals Per Flag,Avg Core Flag Wait Time,Avg Task Flag Wait Time,Avg Queueing Time,Avg High Latency Task Flag Wait Time,Avg Flag Set Delay Time,Avg High Latency Flag Set Delay Time,Avg Flagged Task Service Time,Avg Flagged Task Time Left,Pct Flagged Queues Non-empty,Description
3-01-26_11:21:37_t0,32,100000000,1000,0.5,99.99999200015576,94.59560485666839,0.0,33510525.19999998,87040120.88000001,7690.0,61429515.2,0.0,0,2772876.012104044,8.665237537825139,0.0,0,0,168257739,0,3027202856,0,4704461,168154731,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4777754.940781051,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t1,32,100000000,1000,0.5,99.99998000053658,94.47964132419465,0.0,34153399.94999983,86425201.95500006,6877.0,63303951.72,0.0,0,2773005.600259745,8.665642500811703,0.0,0,0,171832458,0,3023515586,0,4876647,171692983,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4871599.663125478,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t2,32,100000000,1000,0.5,99.99996900000187,94.53783569020476,0.0,32650803.300000027,87369748.296,7555.0,61817191.72000004,0.0,0,2778869.83326781,8.683968228961907,0.0,0,0,170043867,0,3025295742,0,4743169,169960289,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4898453.246240378,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t3,32,100000000,1000,0.5,99.9999910000225,94.54985648542097,0.0,34844882.75,91362625.53500013,7315.0,63610830.39999992,0.0,0,2763153.0921172695,8.634853412866466,0.0,0,0,169665426,0,3025688611,0,4786719,169532382,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4960689.3800069485,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t4,32,100000000,1000,0.5,99.99995700040334,94.52306580403275,0.0,34741909.099999994,85947071.27400002,7178.0,62760862.11999999,0.0,0,2772203.9967265106,8.663137489770346,0.0,0,0,170458367,0,3024851644,0,4829088,170347908,0,0,0,0,0.0,0.0,0.0,0,0.0,0,5094236.862810805,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t5,32,100000000,1000,0.5,99.99997600009024,94.5820875271865,0.0,34936575.4,88469946.926,7086.0,63503002.259999976,0.0,0,2747469.6695140423,8.585842717231383,0.0,0,0,168610324,0,3026722901,0,4796252,168492111,0,0,0,0,0.0,0.0,0.0,0,0.0,0,5277362.580815875,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t6,32,100000000,1000,0.5,99.99996400001584,94.57113634751822,0.0,31131757.94999998,85016862.49300015,7424.0,64049254.280000016,0.0,0,2750118.7899477324,8.594121218586663,0.0,0,0,168969296,0,3026361619,0,4826191,168812446,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4551584.694002444,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t7,32,100000000,1000,0.5,99.99996600000985,94.64671583274004,0.0,33614383.79999996,89028247.01000002,7259.0,65349206.559999995,0.0,0,2732469.2075839294,8.53896627369978,0.0,0,0,166615848,0,3028779323,0,4690608,166529909,0,0,0,0,0.0,0.0,0.0,0,0.0,0,5094608.970297935,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t8,32,100000000,1000,0.5,99.99995700011266,94.60937943343517,0.0,30973389.0,86769079.18000004,7494.0,63719719.400000006,0.0,0,2763802.758836772,8.636883621364912,0.0,0,0,167788797,0,3027591772,0,4765490,167649746,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4693464.876905431,0,0,0,0,0,0,"bimodal_newpolicy_same"
3-01-26_11:21:37_t9,32,100000000,1000,0.5,99.99995200004992,94.55613171444071,0.0,35336256.8,86426008.40000002,7318.0,62409134.68,0.0,0,2766847.1224789927,8.646397257746852,0.0,0,0,169456449,0,3025883580,0,4790053,169328159,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4982109.8903916,0,0,0,0,0,0,"bimodal_newpolicy_same"
